PropertyID,PropType,taxkey,Address,CondoProject,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
204723,Residential,4161155100,528 S 94TH ST,,10,2710,Duplex N/S,Aluminum/Vinyl,1.5,2004,0,2299,2,4,3,1,5300,8/7/2019,230000
204751,Residential,4161187000,528 S 94TH PL,,10,2710,Residence O/S,Aluminum/Vinyl,1,1926,6,1004,1,1,1,NULL,3500,9/13/2019,129000
204775,Residential,4161503000,9216 W DIXON ST,,10,2760,Ranch,Brick,1,1954,6,1145,1,3,1,NULL,6216,5/28/2019,186000
204800,Residential,4161528110,9325 W DIXON ST,,10,2760,Cape Cod,Brick,1,1953,7,1548,1,5,1,1,6000,9/27/2019,213000
204816,Residential,4161543110,9228 W CHESTER ST,,10,2760,Cape Cod,Brick,1,1953,5,1068,1,3,1,NULL,5250,11/15/2019,135000
204850,Residential,4171119000,428 S 86TH ST,,10,2710,Milwaukee Bungalow,Aluminum/Vinyl,1,1923,6,902,1,3,1,NULL,4000,7/8/2019,142000
204878,Residential,4171154100,8753 W ADLER ST,,10,2710,Ranch,Aluminum/Vinyl,1,1955,5,1104,1,3,1,NULL,4060,11/22/2019,153000
204892,Residential,4171169000,425 S 88TH ST,,10,2710,Ranch,Aluminum/Vinyl,1,1953,4,735,1,2,1,NULL,4400,3/8/2019,116000
204897,Residential,4171174000,422 S 89TH ST,,10,2710,Residence O/S,Aluminum/Vinyl,1,1922,5,1099,1,3,1,NULL,5300,9/13/2019,140000
204934,Residential,4171331000,429 S 91ST ST,,10,2710,Residence O/S,Aluminum/Vinyl,1,1925,5,1018,1,3,1,NULL,4500,7/12/2019,126000
204943,Residential,4171344000,437 S 91ST PL,,10,2710,Cape Cod,Aluminum/Vinyl,1,1957,5,1100,1,3,1,NULL,4025,11/27/2019,138000
204971,Residential,4179871100,441 S 86TH ST,,10,2710,Residence O/S,Aluminum/Vinyl,1,1929,6,1494,1,3,2,NULL,4845,4/30/2019,149800
205032,Residential,4180119000,148 S 77TH ST,,10,2720,Milwaukee Bungalow,Asphalt/Other,1,1924,7,1081,1,3,1,NULL,5360,5/30/2019,153000
205048,Residential,4180135000,155 S 77TH ST,,10,2720,Ranch,Brick,1,1950,4,917,1,2,1,NULL,5200,11/8/2019,144900
205058,Residential,4180145000,160 S 78TH ST,,10,2720,Ranch,Aluminum/Vinyl,1,1953,5,985,1,3,1,NULL,5200,4/12/2019,129400
205092,Residential,4180180100,122 S 79TH ST,,10,2720,Cape Cod,Aluminum/Vinyl,1,1951,5,1123,1,3,1,NULL,8450,10/21/2019,159000
205125,Residential,4180213000,221 S 79TH ST,,10,2720,Cape Cod,Aluminum/Vinyl,1,1949,5,1012,1,3,1,NULL,5880,8/21/2019,129000
205143,Residential,4180231000,236 S 80TH ST,,10,2720,Cape Cod,Aluminum/Vinyl,1.5,1947,6,1636,1,3,1,NULL,5560,9/9/2019,174000
